Price,# Bedroom,# Bathroom,size(square feet),homeType,address,Date,Today
"$525,000",3,2,1,-,"191 Berriman St, Brooklyn, NY 11208",NAN,2021-10-19
"$249,000",1,1,6,-,"611 Banner Ave APT 6K, Brooklyn, NY 11235",NAN,2021-10-19
"$1,725,000",5,3,1,-,"181 13th St, Brooklyn, NY 11215",NAN,2021-10-19
"$549,000",S,1,-,-,"130 Water St APT 9F, New York, NY 10005",NAN,2021-10-19
"$1,050,000",2,1,8,-,"201 E 15th St APT 7G, New York, NY 10003",NAN,2021-10-19
"$2,250,000",4,2,-,-,"875 W End Ave APT 4B, New York, NY 10025",NAN,2021-10-19
"$599,000",1,1,8,-,"345 E 86th St APT 3A, New York, NY 10028",NAN,2021-10-19
"$1,125,000",2,1,1,-,"433 Warren St PENTHOUSE B, Brooklyn, NY 11217",NAN,2021-10-19
"$618,000",2,3,1,-,"94-32 77th St, Ozone Park, NY 11416",NAN,2021-10-19
"$2,125,000",2,2,1,-,"1 Prospect Park W #7D, Brooklyn, NY 11215",NAN,2021-10-19
"$290,000",1,1,8,-,"527 X Ave #3B, Brooklyn, NY 11235",NAN,2021-10-19
"$3,995,000",3,3,1,-,"959 1st Ave APT 20A, New York, NY 10022",NAN,2021-10-19
"$2,695,000",3,3,-,-,"285 Riverside Dr APT 4B, New York, NY 10025",NAN,2021-10-19
"$699,000",1,1,9,-,"210 Riverside Dr APT 9F, New York, NY 10025",NAN,2021-10-19
"$285,000",1,1,-,-,"558 W 148th St #2A, New York, NY 10031",NAN,2021-10-19
"$380,000",2,1,9,-,"2155 Daly Ave APT 5A, Bronx, NY 10460",NAN,2021-10-19
"$3,595,000",2,2,2,-,"200 Mercer St APT 4E, New York, NY 10012",NAN,2021-10-19
"$25,000,000",4,6,-,-,"944 5th Ave #5, New York, NY 10021",NAN,2021-10-19
"$279,000",2,1,-,-,"32-45 88th St #611, East Elmhurst, NY 11369",NAN,2021-10-19
"$1,100,000",1,1,8,-,"333 W 56th St APT 9A, New York, NY 10019",NAN,2021-10-19
"$749,999",7,3,2,-,"544 Beach 68th St, Far Rockaway, NY 11692",NAN,2021-10-19
"$739,000",2,2,1,-,"50 Park Ter E APT 4B, New York, NY 10034",NAN,2021-10-19
"$325,000",2,1,3,-,"89-03 151st Ave #2, Howard Beach, NY 11414",NAN,2021-10-19
"$1,590,000",1,4,2,-,"4812 93rd St, Elmhurst, NY 11373",NAN,2021-10-19
"$2,249,000",4,3,2,-,"1060 E 22nd St, Brooklyn, NY 11210",NAN,2021-10-19
"$865,000",3,2,1,-,"1071 E 32nd St, Brooklyn, NY 11210",NAN,2021-10-19
"$849,000",3,2,1,-,"3435 Guider Ave APT 5A, Brooklyn, NY 11235",NAN,2021-10-19
"$1,150,000",2,2,9,-,"657 Warren St APT 3B, Brooklyn, NY 11217",NAN,2021-10-19
"$719,000",1,1,-,-,"535 W 110th St APT 11G, New York, NY 10025",NAN,2021-10-19
"$1,695,000",2,1,8,-,"536 E 13th St APT 6R, New York, NY 10009",NAN,2021-10-19
"$849,000",1,1,7,-,"300 E 40th St APT 26N, New York, NY 10016",NAN,2021-10-19
"$2,275,000",1,2,1,-,"425 W 50th St APT 12F, New York, NY 10019",NAN,2021-10-19
"$401,000",S,1,4,-,"103 Clinton St APT 3, New York, NY 10002",NAN,2021-10-19
"$1,895,000",2,2,1,-,"201 W 70th St APT 25B, New York, NY 10023",NAN,2021-10-19
"$2,195,000",2,3,1,-,"111 Central Park N #5C, New York, NY 10026",NAN,2021-10-19
"$1,450,000",1,1,8,-,"60 Riverside Blvd APT 1507, New York, NY 10069",NAN,2021-10-19
